frame_id;scene_id;page_id;viewport;width;height
FF01-D;story.first_package;game-purpose;desktop;1600;900
FF01-M;story.first_package;game-purpose;mobile;390;844
FF02-D;story.first_package;first-hand-packed;desktop;1600;900
FF02-M;story.first_package;first-hand-packed;mobile;390;844
FF03-D;story.order_backlog;backlog-challenge;desktop;1600;900
FF03-M;story.order_backlog;backlog-challenge;mobile;390;844
FF04-D;story.quality_promise;quality-process;desktop;1600;900
FF04-M;story.quality_promise;quality-process;mobile;390;844
FF05-D;client.business_growth;new-business;desktop;1600;900
FF05-M;client.business_growth;new-business;mobile;390;844
FF06-D;client.business_growth;three-hundred;desktop;1600;900
FF06-M;client.business_growth;three-hundred;mobile;390;844
FF07-D;client.business_growth;one-year;desktop;1600;900
FF07-M;client.business_growth;one-year;mobile;390;844
FF08-D;client.business_growth;hundred-thousand;desktop;1600;900
FF08-M;client.business_growth;hundred-thousand;mobile;390;844
FF09-D;story.matching_result;many-plans;desktop;1600;900
FF09-M;story.matching_result;many-plans;mobile;390;844
FF10-D;story.scale;phone-tower;desktop;1600;900
FF10-M;story.scale;phone-tower;mobile;390;844
FF11-D;story.million_approach;counter-source;desktop;1600;900
FF11-M;story.million_approach;counter-source;mobile;390;844
FF12-D;challenge.million_wave;two-goals;desktop;1600;900
FF12-M;challenge.million_wave;two-goals;mobile;390;844
FF13-D;story.million_finale;million-celebration;desktop;1600;900
FF13-M;story.million_finale;million-celebration;mobile;390;844
FF14-D;story.challenge_handoff;rules-change;desktop;1600;900
FF14-M;story.challenge_handoff;rules-change;mobile;390;844
