"typ_rekordu";"nr";"scena_id";"perspektywa";"cel_sceny";"fakt_kroku";"czynność";"finalny_kadr";"ekran_id";"limit_tytulu_slowa";"limit_tekstu_znaki";"tytul_aktualny";"tekst_1_aktualny";"tekst_2_aktualny";"cta_aktualne";"decyzja_marketingu";"nowy_tytul";"nowy_tekst_1";"nowy_tekst_2";"nowe_cta";"anonimizacja";"status_biezacy";"uwagi_marketingu"
"TEKST";"1.1";"story.first_package";"Nasza historia";"wyjaśnić grę i ustanowić pierwszą paczkę jako początek historii AMSO.";"Gra opowiada prawdziwą drogę AMSO od pierwszej paczki do miliona zamówień.";"Pierwsza paczka rusza przez podgląd kolejnych miejsc: magazynu, stanowiska jakości i licznika.";"Pierwsza paczka stoi na początku trasy prowadzącej do czytelnego znaku 1 000 000.";"game-purpose";"8";"220";"To gra o drodze AMSO.";"Bieg łączy etapy rozwoju firmy z bezpiecznymi kartami historii. Skacz klawiszem W, ↑, Spacją lub dotykiem; ślizgaj się klawiszem S, ↓ lub gestem w dół i zbieraj paczki aż do miliona.";"";"Poznaj początek";"AKCEPT / ZMIANA / ODRZUĆ";"";"";"";"";"nie dotyczy";"ROBOCZY";""
"TEKST";"1.2";"story.first_package";"Nasza historia";"wyjaśnić grę i ustanowić pierwszą paczkę jako początek historii AMSO.";"Pierwsze zamówienie AMSO zostało przygotowane własnymi rękami w małym sklepie i magazynie.";"Pracownik składa karton, wkłada urządzenie, zamyka paczkę i nakleja etykietę.";"Gotowa pierwsza paczka stoi przy wyjściu z małego magazynu, a zespół AMSO jest obok.";"first-hand-packed";"8";"220";"Pierwszą paczkę przygotowaliśmy sami.";"Z małego sklepu i magazynu wielkości kawalerki własnymi rękami wysłaliśmy pierwsze zamówienie. Ty poprowadzisz tę drogę aż do miliona.";"";"Rozpocznij drogę";"AKCEPT / ZMIANA / ODRZUĆ";"";"";"";"";"nie dotyczy";"ROBOCZY";""
"TEKST";"2.1";"story.order_backlog";"Nasza historia";"pokazać konkretny zator, zanim gracz pomaga go rozładować.";"Rosnąca liczba zamówień stworzyła zator w małym magazynie AMSO.";"Kolejne paczki zapełniają stanowisko, paletę i przejście między strefami.";"Realne kartony i palety tworzą czytelny zator przed stanowiskiem pakowania.";"backlog-challenge";"8";"220";"Zamówienia zaczęły tworzyć zator.";"Paczki, ręczne etykiety i zadania wypełniły mały magazyn. Użyj skoku i ślizgu, aby pomóc nam przywrócić płynny przepływ.";"";"Rozładuj zator";"AKCEPT / ZMIANA / ODRZUĆ";"";"";"";"";"nie dotyczy";"ROBOCZY";""
"TEKST";"3.1";"story.quality_promise";"Nasza historia";"pokazać rzeczywiste przygotowanie urządzenia bez niepotwierdzonych szczegółów testów.";"AMSO przygotowuje urządzenie przed wysłaniem go do kolejnego użytkownika.";"Pracownik uruchamia laptop, przygotowuje go, oznacza i pakuje po ukończeniu próby.";"Laptop z etykietą SPRAWDZONY znajduje się w otwartej paczce gotowej do wysyłki.";"quality-process";"8";"220";"Jakość prowadzi sprzęt dalej.";"Urządzenie przechodzi przez uruchomienie i przygotowanie. Ukończ Próbę Jakości, aby otrzymało oznaczenie SPRAWDZONY i wróciło do obiegu.";"";"Rozpocznij próbę";"AKCEPT / ZMIANA / ODRZUĆ";"";"";"";"";"nie dotyczy";"ROBOCZY";""
"TEKST";"4.1";"client.business_start";"Historia klienta";"pokazać rozwój firmy przez konkretny powrót klienta, bez skrótu pozbawionego kontekstu.";"Klient rozpoczynający działalność szukał laptopa w budżecie do 400 zł.";"Klient sprawdza portfel i przekazuje pracownikowi kartę z budżetem do 400 zł.";"Ten sam anonimowy klient siedzi przy pustym biurku obok czytelnej kwoty 400 zł.";"new-business";"8";"220";"Na początku liczył się budżet.";"Klient dopiero rozpoczynał działalność. Potrzebował pierwszego narzędzia do pracy i przyszedł do AMSO po laptop w budżecie do 400 zł.";"";"Rozpocznij trzy fazy";"AKCEPT / ZMIANA / ODRZUĆ";"";"";"";"";"TAK / NIE";"ROBOCZY";""
"TEKST";"5.1";"client.business_growth";"Historia klienta";"pokazać rozwój firmy przez konkretny powrót klienta, bez skrótu pozbawionego kontekstu.";"Klient wybrał w AMSO laptop za 300 zł.";"Pracownik przekazuje klientowi pierwszy laptop, a klient ustawia go na biurku.";"Klient pracuje przy pierwszym laptopie; obok pozostaje etykieta 300 zł.";"three-hundred";"8";"220";"Wybrał laptop za 300 zł.";"Sprawdzony laptop zmieścił się w budżecie i pozwolił rozpocząć pracę bez nadmiernego obciążania młodej firmy.";"";"Dalej";"AKCEPT / ZMIANA / ODRZUĆ";"";"";"";"";"TAK / NIE";"ROBOCZY";""
"TEKST";"5.2";"client.business_growth";"Historia klienta";"pokazać rozwój firmy przez konkretny powrót klienta, bez skrótu pozbawionego kontekstu.";"Po roku firma klienta rozwinęła się i potrzebowała więcej sprzętu.";"Kalendarz przesuwa się o rok, a wokół pierwszego biurka pojawiają się nowe stanowiska.";"Ten sam klient i laptop są w większym biurze z kilkoma przygotowanymi stanowiskami.";"one-year";"8";"220";"Po roku firma była większa.";"Pojawiły się nowe zadania, pracownicy i większe potrzeby sprzętowe. Pierwszy laptop nadal stoi na biurku i łączy oba etapy historii.";"";"Dalej";"AKCEPT / ZMIANA / ODRZUĆ";"";"";"";"";"TAK / NIE";"ROBOCZY";""
"TEKST";"5.3";"client.business_growth";"Historia klienta";"pokazać rozwój firmy przez konkretny powrót klienta, bez skrótu pozbawionego kontekstu.";"Po roku ten sam klient wrócił do AMSO z budżetem 100 000 zł; przez kolejne siedem lat nadal wybierał sprzęt poleasingowy.";"Klient przekazuje plan większego zakupu, a oś siedmiu lat prowadzi do współczesnego, rozwiniętego biura.";"Rozwinięte biuro, ten sam klient i pierwszy laptop stoją obok kwoty 100 000 zł oraz podpisu 7 LAT PÓŹNIEJ.";"hundred-thousand";"8";"220";"Wrócił z budżetem 100 000 zł.";"Rozwinięta firma nadal wybierała sprzęt poleasingowy. Od tamtej decyzji minęło siedem lat, a klient nadal uważa ten kierunek za dobry wybór dla firmy.";"";"Zbuduj rozwój firmy";"AKCEPT / ZMIANA / ODRZUĆ";"";"";"";"";"TAK / NIE";"ROBOCZY";""
"TEKST";"6.1";"story.matching_result";"Nasza historia";"połączyć trzy historie tezą o dopasowaniu, nie o najniższej cenie.";"W drodze do miliona było wiele odrębnych historii klientów i zastosowań sprzętu.";"Kadr głównego klienta ustępuje trzem krótkim migawkom różnych osób i stanowisk.";"Trzy oddzielne zamówienia prowadzą do wspólnego magazynu AMSO bez łączenia bohaterów.";"many-plans";"8";"220";"To była jedna z wielu historii.";"Inna klientka tworzyła portfolio, a osobna firma najpierw testowała sprzęt. Każda z tych historii dotyczyła innych ludzi, potrzeb i zamówień.";"";"Zobacz skalę";"AKCEPT / ZMIANA / ODRZUĆ";"";"";"";"";"nie dotyczy";"ROBOCZY";""
"TEKST";"7.1";"story.scale";"Nasza historia";"wyjaśnić okres, kategorię i jednostkę przed wizualnym porównaniem, a następnie wrócić do ludzi.";"Około 28 000 smartfonów sprzedanych w rok utworzyłoby wieżę około 240 m, porównywalną z PKiN.";"Kolejne telefony budują pionową wieżę obok czytelnej sylwetki PKiN.";"Wieża telefonów i PKiN stoją na jednej podstawie z etykietami 28 000, rok i około 240 m.";"phone-tower";"8";"220";"Roczna sprzedaż sięga wysokości PKiN.";"Około 28 000 sprzedanych w rok smartfonów utworzyłoby wieżę wysoką na około 240 metrów. Za tym porównaniem stoją konkretne zamówienia i zespół.";"";"Podejmij szczyt zamówień";"AKCEPT / ZMIANA / ODRZUĆ";"";"";"";"";"nie dotyczy";"ROBOCZY";""
"TEKST";"8.1";"story.million_approach";"Nasza historia";"wyjaśnić źródło licznika i sens ostatnich 30 paczek.";"Finał rozpoczyna się od 999 950 zamówień i wymaga zebrania 50 paczek.";"Licznik zatrzymuje się na 999 950, a pięćdziesiąt paczek ustawia się przed trasą.";"Czytelny licznik 999 950 stoi nad trasą, a pierwsza z pięćdziesięciu paczek czeka po prawej.";"counter-source";"8";"220";"Do miliona zostało 50 zamówień.";"Licznik zaczyna od 999 950. Każda zebrana paczka doda dokładnie jedno zamówienie, a dwanaście kombinacji przypomni umiejętności z całej drogi.";"";"Poznaj zasady finału";"AKCEPT / ZMIANA / ODRZUĆ";"";"";"";"";"nie dotyczy";"ROBOCZY";""
